[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
331,-3.138000,-126.095225,-1.076109
332,-3.136000,-134.791447,-1.150323
333,-3.134000,-131.892706,-1.125585
334,-3.132000,-128.993966,-1.100847
335,-3.130000,-120.297743,-1.026633
336,-3.128000,-111.601521,-0.952418
337,-3.126000,-123.196484,-1.051371
338,-3.124000,-108.702780,-0.927680
339,-3.122000,-128.993966,-1.100847
340,-3.120000,-126.095225,-1.076109
341,-3.118000,-137.690188,-1.175062
342,-3.116000,-128.993966,-1.100847
343,-3.114000,-120.297743,-1.026633
344,-3.112000,-117.399002,-1.001895
345,-3.110000,-120.297743,-1.026633
346,-3.108000,-128.993966,-1.100847
347,-3.106000,-131.892706,-1.125585
348,-3.104000,-134.791447,-1.150323
349,-3.102000,-131.892706,-1.125585
350,-3.100000,-117.399002,-1.001895
351,-3.098000,-117.399002,-1.001895
352,-3.096000,-134.791447,-1.150323
353,-3.094000,-149.285151,-1.274014
354,-3.092000,-140.588929,-1.199800
355,-3.090000,-128.993966,-1.100847
356,-3.088000,-114.500262,-0.977156
357,-3.086000,-111.601521,-0.952418
358,-3.084000,-120.297743,-1.026633
359,-3.082000,-126.095225,-1.076109
360,-3.080000,-140.588929,-1.199800
361,-3.078000,-143.487670,-1.224538
362,-3.076000,-134.791447,-1.150323
363,-3.074000,-117.399002,-1.001895
364,-3.072000,-108.702780,-0.927680
365,-3.070000,-108.702780,-0.927680
366,-3.068000,-105.804039,-0.902942
367,-3.066000,-123.196484,-1.051371
368,-3.064000,-146.386410,-1.249276
369,-3.062000,-155.082633,-1.323490
370,-3.060000,-143.487670,-1.224538
371,-3.058000,-120.297743,-1.026633
372,-3.056000,-97.107817,-0.828728
373,-3.054000,-108.702780,-0.927680
374,-3.052000,-123.196484,-1.051371
375,-3.050000,-143.487670,-1.224538
376,-3.048000,-155.082633,-1.323490
377,-3.046000,-146.386410,-1.249276
378,-3.044000,-114.500262,-0.977156
379,-3.042000,-91.310335,-0.779251
380,-3.040000,-94.209076,-0.803989
381,-3.038000,-111.601521,-0.952418
382,-3.036000,-143.487670,-1.224538
383,-3.034000,-149.285151,-1.274014
384,-3.032000,-146.386410,-1.249276
385,-3.030000,-131.892706,-1.125585
386,-3.028000,-102.905298,-0.878204
387,-3.026000,-88.411594,-0.754513
388,-3.024000,-100.006558,-0.853466
389,-3.022000,-117.399002,-1.001895
390,-3.020000,-137.690188,-1.175062
391,-3.018000,-155.082633,-1.323490
392,-3.016000,-137.690188,-1.175062
393,-3.014000,-126.095225,-1.076109
394,-3.012000,-105.804039,-0.902942
395,-3.010000,-102.905298,-0.878204
396,-3.008000,-105.804039,-0.902942
397,-3.006000,-134.791447,-1.150323
398,-3.004000,-146.386410,-1.249276
399,-3.002000,-152.183892,-1.298752
400,-3.000000,-131.892706,-1.125585
401,-2.998000,-120.297743,-1.026633
402,-2.996000,-102.905298,-0.878204
403,-2.994000,-108.702780,-0.927680
